Item Number,Description,Diameter (mm),Thickness (mm),Quantity,Price Each
ABC041,.875 x .040 Circular Sapphire Windows,0.875,0.04,100,10
ABC042,.875 x .080 Circular Sapphire Windows,0.875,0.08,100,10
ABC043,.875 x .125 Circular Sapphire Windows,0.875,0.125,100,10
ABC044,1.000 x .005 Circular Sapphire Windows,1,0.005,100,10
ABC045,1.000 x .010 Circular Sapphire Windows,1,0.01,100,10
ABC046,1.000 x .020 Circular Sapphire Windows,1,0.02,100,10
ABC047,1.000 x .025 Circular Sapphire Windows,1,0.025,100,10
ABC048,1.000 x .030 Circular Sapphire Windows,1,0.03,100,10
ABC049,1.000 x .040 Circular Sapphire Windows,1,0.04,100,10
ABC050,1.000 x .050 Circular Sapphire Windows,1,0.05,100,10
ABC051,1.000 x .060 Circular Sapphire Windows,1,0.06,100,10
ABC052,1.000 x .070 Circular Sapphire Windows,1,0.07,100,10
ABC053,1.000 x .090 Circular Sapphire Windows,1,0.09,100,10
ABC054,1.000 x .100 Circular Sapphire Windows,1,0.1,100,10
ABC055,1.000 x .125 Circular Sapphire Windows,1,0.125,100,10
ABC056,1.000 x .200 Circular Sapphire Windows,1,0.2,100,10
ABC057,1.000 x .240 Circular Sapphire Windows,1,0.24,100,10
ABC058,1.000 x .250 Circular Sapphire Windows,1,0.25,100,10
ABC059,1.000 x .375 Circular Sapphire Windows,1,0.375,100,10
ABC060,1.000 x .500 Circular Sapphire Windows,1,0.5,100,10
ABC062,1.125 x .020 Circular Sapphire Windows,1.125,0.02,100,10
ABC063,1.125 x .040 Circular Sapphire Windows,1.125,0.04,100,10
ABC064,1.125 x .080 Circular Sapphire Windows,1.125,0.08,100,10
ABC065,1.125 x .125 Circular Sapphire Windows,1.125,0.125,100,10
ABC066,1.250 x .020 Circular Sapphire Windows,1.25,0.02,100,10
ABC067,1.250 x .040 Circular Sapphire Windows,1.25,0.04,100,10
ABC068,1.250 x .080 Circular Sapphire Windows,1.25,0.08,100,10
ABC069,1.250 x .125 Circular Sapphire Windows,1.25,0.125,100,10
ABC070,1.375 x .040 Circular Sapphire Windows,1.375,0.04,100,10
ABC071,1.375 x .125 Circular Sapphire Windows,1.375,0.125,100,10
ABC072,1.500 x .020 Circular Sapphire Windows,1.5,0.02,100,10
ABC073,1.500 x .040 Circular Sapphire Windows,1.5,0.04,100,10
ABC074,1.500 x .060 Circular Sapphire Windows,1.5,0.06,100,10
ABC075,1.500 x .080 Circular Sapphire Windows,1.5,0.08,100,10
ABC076,1.500 x .125 Circular Sapphire Windows,1.5,0.125,100,10
ABC077,1.500 x .250 Circular Sapphire Windows,1.5,0.25,100,10
ABC078,2.000 x .020 Circular Sapphire Windows,2,0.02,100,10
ABC079,2.000 x .040 Circular Sapphire Windows,2,0.04,100,10
ABC080,2.000 x .060 Circular Sapphire Windows,2,0.06,100,10
ABC081,2.000 x .080 Circular Sapphire Windows,2,0.08,100,10
ABC082,2.000 x .125 Circular Sapphire Windows,2,0.125,100,10
ABC083,3.000 x .080 Circular Sapphire Windows,3,0.08,100,10
ABC084,3.000 x .125 Circular Sapphire Windows,3,0.125,100,10
